264 [-1, '77', '83', 3, 2, -14]
265 [3, '80', '75', 8, 4, 0]
266 [0, '78', '74', 5, 2, 1]
267 [-2, '75', '77', 0, 3, 0]
270 [0, '77', '75', 1, 2, 0]
271 [1, '75', '86', 2, 0, 0]
272 [1, '74', '78', 3, 3, 0]
273 [1, '79', '75', 5, 4, 1]
274 [-2, '79', '85', 1, 8, -17]
275 [0, '83', '79', 3, 3, -4]
276 [-1, '75', '80', 0, 0, 0]
277 [-1, '77', '75', 2, 2, 0]
278 [0, '78', '78', 3, 0, 6]
279 [3, '86', '77', 7, 0, 0]
280 [1, '75', '79', 3, 1, 0]
281 [-1, '80', '83', 0, 0, -7]
282 [4, '79', '75', 5, 2, 3]
283 [2, '85', '75', 0, 0, 0]
284 [4, '80', '79', 6, 4, 0]
285 [2, '78', '75', 5, 0, -2]
288 [-3, '78', '80', 4, 5, -6]
289 [-2, '75', '75', 0, 3, 0]
290 [-1, '75', '79', 0, 5, 0]
291 [0, '77', '77', 1, 2, -5]
292 [0, '83', '85', 4, 0, -2]
293 [-2, '75', '78', 0, 4, -1]
294 [-1, '74', '86', 2, 0, -24]
295 [1, '79', '79', 0, 6, 1]
296 [0, '78', '75', 2, 2, 0]
316 [-1, '74', '83', 0, 4, 0]
317 [2, '75', '79', 5, 0, 0]
318 [1, '78', '75', 0, 2, 0]
319 [1, '79', '86', 2, 3, 0]
326 [5, '85', '77', 0, 0, 0]
338 [-2, '75', '75', 0, 0, 0]
